date,aircraft_model,location,country,source_url
"12th June, 2025",Boeing,"Ahmedabad, India",India,https://www.1001crash.com/transport-page-plane_database-lg-2-aviation-boeing-plane-accident-aeronautical-history.html
"29th December, 2024",Boeing,"Muan, South Korea",South Korea,https://www.1001crash.com/transport-page-plane_database-lg-2-aviation-boeing-plane-accident-aeronautical-history.html
"25th November, 2024",Boeing,"Vilnius, Lithuania",Lithuania,https://www.1001crash.com/transport-page-plane_database-lg-2-aviation-boeing-plane-accident-aeronautical-history.html
"9th May, 2024",Boeing,"Dakar, Senegal",Senegal,https://www.1001crash.com/transport-page-plane_database-lg-2-aviation-boeing-plane-accident-aeronautical-history.html
"5th May, 2024",Boeing,"Kinshasa, Congo",Congo,https://www.1001crash.com/transport-page-plane_database-lg-2-aviation-boeing-plane-accident-aeronautical-history.html
"31st March, 2024",Boeing,"Malakal, South Sudan",South Sudan,https://www.1001crash.com/transport-page-plane_database-lg-2-aviation-boeing-plane-accident-aeronautical-history.html
"7th April, 2022",Boeing,"San Jose, Costa Rica",Costa Rica,https://www.1001crash.com/transport-page-plane_database-lg-2-aviation-boeing-plane-accident-aeronautical-history.html
"21st March, 2022",Boeing,"Tengxian, China",China,https://www.1001crash.com/transport-page-plane_database-lg-2-aviation-boeing-plane-accident-aeronautical-history.html
"2nd July, 2021",Boeing,"off Honolulu, HI, USA",United States,https://www.1001crash.com/transport-page-plane_database-lg-2-aviation-boeing-plane-accident-aeronautical-history.html
"9th January, 2021",Boeing,"Off Jakarta, Indonesia",Indonesia,https://www.1001crash.com/transport-page-plane_database-lg-2-aviation-boeing-plane-accident-aeronautical-history.html
"7th August, 2020",Boeing,"Kozhikode, India",India,https://www.1001crash.com/transport-page-plane_database-lg-2-aviation-boeing-plane-accident-aeronautical-history.html
"5th February, 2020",Boeing,"Istanbul, Turkey",Turkey,https://www.1001crash.com/transport-page-plane_database-lg-2-aviation-boeing-plane-accident-aeronautical-history.html
"8th January, 2020",Boeing,"Tehran, Iran",Iran,https://www.1001crash.com/transport-page-plane_database-lg-2-aviation-boeing-plane-accident-aeronautical-history.html
"10th March, 2019",Boeing,"Bishoftu, Ethiopia",Ethiopia,https://www.1001crash.com/transport-page-plane_database-lg-2-aviation-boeing-plane-accident-aeronautical-history.html
"23rd February, 2019",Boeing,"Houston, TX, USA",United States,https://www.1001crash.com/transport-page-plane_database-lg-2-aviation-boeing-plane-accident-aeronautical-history.html
"14th January, 2019",Boeing,"Fath, Iran",Iran,https://www.1001crash.com/transport-page-plane_database-lg-2-aviation-boeing-plane-accident-aeronautical-history.html
"9th November, 2018",Boeing,"Georgetown, Guyana",Guyana,https://www.1001crash.com/transport-page-plane_database-lg-2-aviation-boeing-plane-accident-aeronautical-history.html
"7th November, 2018",Boeing,"Halifax, Canada",Canada,https://www.1001crash.com/transport-page-plane_database-lg-2-aviation-boeing-plane-accident-aeronautical-history.html
"29th October, 2018",Boeing,"Off Jakarta, Indonesia",Indonesia,https://www.1001crash.com/transport-page-plane_database-lg-2-aviation-boeing-plane-accident-aeronautical-history.html
"28th September, 2018",Boeing,"Chuuk, Micronesia",Micronesia,https://www.1001crash.com/transport-page-plane_database-lg-2-aviation-boeing-plane-accident-aeronautical-history.html
"19th May, 2018",Boeing,"Havanna, Cuba",Cuba,https://www.1001crash.com/transport-page-plane_database-lg-2-aviation-boeing-plane-accident-aeronautical-history.html
"16th January, 2017",Boeing,"Bishkek, Kyrgyzstan",Kyrgyzstan,https://www.1001crash.com/transport-page-plane_database-lg-2-aviation-boeing-plane-accident-aeronautical-history.html
"20th December, 2016",Boeing,"Puerto Carreño, Colombia",Colombia,https://www.1001crash.com/transport-page-plane_database-lg-2-aviation-boeing-plane-accident-aeronautical-history.html
"3rd August, 2016",Boeing,"Dubai, United Arab Emirates",United Arab Emirates,https://www.1001crash.com/transport-page-plane_database-lg-2-aviation-boeing-plane-accident-aeronautical-history.html
"19th March, 2016",Boeing,"Rostov on Don, Russia",Russia,https://www.1001crash.com/transport-page-plane_database-lg-2-aviation-boeing-plane-accident-aeronautical-history.html
"10th January, 2015",Boeing,"Accra-Kotoka, Ghana",Ghana,https://www.1001crash.com/transport-page-plane_database-lg-2-aviation-boeing-plane-accident-aeronautical-history.html
"17th July, 2014",Boeing,"Donetsk, Ukraine",Ukraine,https://www.1001crash.com/transport-page-plane_database-lg-2-aviation-boeing-plane-accident-aeronautical-history.html
"8th March, 2014",Boeing,"Indian Ocean, off Perth, Australia",Australia,https://www.1001crash.com/transport-page-plane_database-lg-2-aviation-boeing-plane-accident-aeronautical-history.html
"17th November, 2013",Boeing,"Kazan, Russia",Russia,https://www.1001crash.com/transport-page-plane_database-lg-2-aviation-boeing-plane-accident-aeronautical-history.html
"6th July, 2013",Boeing,"San Francisco, CA, USA",United States,https://www.1001crash.com/transport-page-plane_database-lg-2-aviation-boeing-plane-accident-aeronautical-history.html
"29th April, 2013",Boeing,"Bagram, Afghanistan",Afghanistan,https://www.1001crash.com/transport-page-plane_database-lg-2-aviation-boeing-plane-accident-aeronautical-history.html
"13th April, 2013",Boeing,"Denpasar, Indonesia",Indonesia,https://www.1001crash.com/transport-page-plane_database-lg-2-aviation-boeing-plane-accident-aeronautical-history.html
"20th April, 2012",Boeing,"Islamabad, Pakistan",Pakistan,https://www.1001crash.com/transport-page-plane_database-lg-2-aviation-boeing-plane-accident-aeronautical-history.html
"20th December, 2011",Boeing,"Yogyakarta, Indonesia",Indonesia,https://www.1001crash.com/transport-page-plane_database-lg-2-aviation-boeing-plane-accident-aeronautical-history.html
"20th August, 2011",Boeing,"Resolute Bay, Canada",Canada,https://www.1001crash.com/transport-page-plane_database-lg-2-aviation-boeing-plane-accident-aeronautical-history.html
"30th July, 2011",Boeing,"Georgetown, Guyana",Guyana,https://www.1001crash.com/transport-page-plane_database-lg-2-aviation-boeing-plane-accident-aeronautical-history.html
"28th July, 2011",Boeing,"Off Jeju, South Korea",South Korea,https://www.1001crash.com/transport-page-plane_database-lg-2-aviation-boeing-plane-accident-aeronautical-history.html
"8th July, 2011",Boeing,"Kisangani, Congo",Congo,https://www.1001crash.com/transport-page-plane_database-lg-2-aviation-boeing-plane-accident-aeronautical-history.html
